Movie_ID,Year,Name,Genre
232,1899,Le chiffonnier,"Short, Comedy"
233,1899,Choque de dos transatlánticos,"Short, Animation"
234,1899,Cleopatra's Tomb,"Short, Horror"
235,1899,Haggard's She: The Pillar of Fire,"Short, Adventure, Fantasy, Horror"
236,1899,Courte échelle,Short
237,1899,Le crucifiement,Short
238,1899,Les dangers de l'alcoolisme,"Short, Drama"
239,1899,Danse serpentine par Mme. Bob Walter,"Short, Music"
240,1899,Distributing a War Extra,"Short, Documentary"
241,1899,La descente de croix,Short
242,1899,The Sign of the Cross,"Short, Fantasy, Horror"
243,1899,Le déjeuner des enfants,"Short, Comedy"
244,1899,Erreur judiciaire,Short
245,1899,The Haunted House,"Short, Comedy, Fantasy, Horror"
246,1899,A Turn of the Century Illusionist,"Short, Fantasy"
247,1899,King John,"Short, Drama"
248,1899,A Kiss in the Tunnel,"Short, Comedy, Romance"
249,1899,The Legacy,Short
250,1899,Llegada del vapor Bellver a Mallorca,"Short, Documentary"
251,1899,Matches: An Appeal,"Animation, Short"
252,1899,La mauvaise soupe,"Short, Comedy"
253,1899,The Miser's Doom,"Short, Horror"
254,1899,Monnaie de lapin,"Short, Comedy"
255,1899,Mésaventure d'un charbonnier,"Short, Comedy"
256,1899,Panorama from the Tower of the Brooklyn Bridge,"Documentary, Short"
257,1899,La résurrection,Short
258,1899,Le tondeur de chiens,"Short, Comedy"
259,1899,Le tonnelier,"Short, Comedy"
260,1899,Transformations,"Short, Comedy"
261,1899,A Midnight Episode,"Short, Comedy, Horror"
262,1899,Un lunch,"Short, Comedy"
263,1899,"Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria","Documentary, Short"
264,1899,Summoning the Spirits,"Short, Fantasy, Horror"
265,1900,Above the Limit,"Short, Comedy"
266,1900,Above the Speedway,"Documentary, Short"
267,1900,L'angélus,Short
268,1900,L'arléquine,Short
269,1900,"Army Life; or, How Soldiers Are Made: Mounted Infantry","Short, Documentary"
270,1900,Arrivée d'Arléquin,Short
271,1900,Arrivée de Pierette et Pierrot,Short
272,1900,As Seen Through the Telescope,"Short, Comedy"
273,1900,Attack on a China Mission,"Short, Action, Crime, Drama, War"
274,1900,Avenue de l'opéra,"Short, Comedy"
275,1900,Badinage,Short
276,1900,Bataille d'oreillers,Short
277,1900,Bataille de boules de neige,Short
278,1900,Buffalo Bill's Show Parade,Short
